gene	E6.5	E7.5	Category
Mixl1	23	3	TF
Meis2	17	2	TF
Mesp1	15	2	TF
Gata6	12	2	TF
Sp5	11	2	TF
Lhx1	10	2	TF
Hoxb1	10	1.3	TF
Snai1	9	1.5	TF
Peg3	9	1.1	TF
Klhl6	9	3	TF
T	8	1.4	TF
Mesp2	7	3	TF
Gata4	7	2	TF
Tbx3	7	0.8	TF
Tbx6	6	2	TF
Nfatc1	6	0.6	TF
Pdlim5	6	2	TF
Irx5	5	1.2	TF
Evx1	5	1.1	TF
Sall3	5	1.4	TF
Otx1	5	1	TF
Zfx	5	0.3	TF
Tenm4	5	2	TF
Nsd3	4	0.9	TF
Six2	4	2	TF
Cdx1	4	0.7	TF
Id1	3	0.4	TF
Hand1	3	0.6	TF
Gabpa	3	1.4	TF
Zfp423	3	0.7	TF
Msgn1	3	0.8	TF
Rreb1	3	1	TF
Pbx1	3	1.5	TF
Nfat5	3	1.3	TF
Psmd9	3	1.1	TF
Foxc1	3	2	TF
Rxrg	3	2	TF
Eomes	3	2	TF
Lef1	3	1.4	TF
Zeb2	3	1.3	TF
Phc2	3	1.4	TF
Glis1	3	1.3	TF
Irx3	2	0.5	TF
Hey1	2	0.8	TF
Etv2	2	0.7	TF
Hmga2	2	0.9	TF
Hdac2	2	1.1	TF
Sfpq	2	1.1	TF
Ring1	2	0.8	TF
Zfp516	2	1.5	TF
Zbtb44	2	0.6	TF
Tcf4	2	1	TF
Nfil3	2	1.3	TF
Setdb1	2	0.9	TF
Chd7	2	1.5	TF
Terf2	2	1.1	TF
Eny2	2	1	TF
Pdlim4	2	1.4	TF
Cux1	2	1.2	TF
Klf9	2	0.7	TF
Arid3b	2	1.3	TF
Cited2	2	1	TF
Wwtr1	2	1.3	TF
Kdm6b	2	2	TF
Srf	2	2	TF
Med13l	2	2	TF
Pitx2	2	2	TF
Msx1	2	2	TF
Maml2	2	2	TF
Msx2	2	2	TF
Rbbp8	2	2	TF
Zic3	2	2	TF
Runx1t1	1	2	TF
Trps1	1.3	2	TF
Smarca2	1.1	2	TF
Plag1	1.3	2	TF
Tmpo	1.1	2	TF
Tmpo	1.1	2	TF
Tcf15	1.1	2	TF
Zfhx3	0.5	2	TF
Kmt2c	1.3	2	TF
Prrx2	1.1	2	TF
Trp53	1.1	2	TF
Xab2	1.1	2	TF
Csrnp2	1	2	TF
Plagl2	0.9	2	TF
Hoxb3	0.9	2	TF
Med1	1.1	2	TF
Men1	0.6	2	TF
Usf1	1	2	TF
Aff1	0.7	2	TF
Gfra2	1.1	3	TF
Rxra	1	3	TF
Klf12	0.6	3	TF
Nasp	1.4	3	TF
Runx2	1.2	3	TF
Meox1	1	4	TF
Dll3	14	2	Notch
Aph1b	6	2	Notch
Aph1c	6	2	Notch
Dlk1	3	0.6	Notch
Jag1	3	2	Notch
Hey1	2	0.8	Notch
Notch1	2	2	Notch
Maml2	2	2	Notch
Dll1	2	3	Notch
Lfng	2	3	Notch
Sel1l	1	2	Notch
Numb	0.8	2	Notch
Frzb	22	3	Wnt
Wnt5a	9	2	Wnt
Wnt3	5	2	Wnt
Wnt2b	4	2	Wnt
Dact1	4	2	Wnt
Wls	3	1.1	Wnt
Lef1	3	1.4	Wnt
Fzd1	3	1.1	Wnt
Wnt2b	3	2	Wnt
Axin2	3	1.1	Wnt
Lrrfip2	2	2	Wnt
Ctnnbip1	2	1.2	Wnt
Wnt5b	2	0.9	Wnt
Rspo3	2	1	Wnt
Tcf4	2	1	Wnt
Apcdd1	1.7	0.9	Wnt
Lefty2	5	2	Tgfb
Tgfb1	5	1.2	Tgfb
Dcp1a	2	1.2	Tgfb
Fstl1	3	1	Tgfb
Fgf3	11	1.2	Fgf
Fgf10	5	0.7	Fgf
Fgf4	3	2	Fgf
Fgfrl1	2	1	Fgf
Spred1	6	1.3	Fgf
Bmp7	7	1	Bmp
Smad1	6	2	Bmp
Bmper	3	1.2	Bmp
Tnnt3	3	2	Bmp
Tdgf1	3	5	Bmp
Smad5	2	1	Bmp
Usp9x	2	0.9	Bmp
Egr1	2	1.1	Bmp
Cer1	0.3	2	Bmp
Twsg1	1.2	2	Bmp
Cyp26a1	7	1	Retinoic_Acid
Rarb	1	2	Retinoic_Acid
Rarg	2	2	Retinoic_Acid
Rxra	2	2	Retinoic_Acid
Rxrg	3	2	Retinoic_Acid
Fn1	18	3	Migration_Polarity_Guidance
Cdh11	12	1.3	Migration_Polarity_Guidance
Pcdh7	11	2	Migration_Polarity_Guidance
Adam19	12	3	Migration_Polarity_Guidance
Pdgfra	9	1.4	Migration_Polarity_Guidance
Epha4	8	1.2	Migration_Polarity_Guidance
Nin	8	2	Migration_Polarity_Guidance
Cxcr4	8	2	Migration_Polarity_Guidance
Kdr	7	1.2	Migration_Polarity_Guidance
Cdh2	6	1.2	Migration_Polarity_Guidance
L1cam	6	2	Migration_Polarity_Guidance
Mmp14	5	1.1	Migration_Polarity_Guidance
Cdh4	5	1.3	Migration_Polarity_Guidance
Vangl1	5	0.9	Migration_Polarity_Guidance
Prtg	5	1.4	Migration_Polarity_Guidance
Pcdh8	5	4	Migration_Polarity_Guidance
Cdc42ep4	4	0.8	Migration_Polarity_Guidance
Efna3	4	1.2	Migration_Polarity_Guidance
Sema5a	4	0.8	Migration_Polarity_Guidance
Slit3	4	1.3	Migration_Polarity_Guidance
Vcan	4	0.9	Migration_Polarity_Guidance
Dock11	4	2	Migration_Polarity_Guidance
Itga5	4	2	Migration_Polarity_Guidance
Mfap4	3	1.8	Migration_Polarity_Guidance
Fat3	3	1.5	Migration_Polarity_Guidance
Agtrap	3	1	Migration_Polarity_Guidance
Pcdh18	3	1.2	Migration_Polarity_Guidance
Nrp2	3	1	Migration_Polarity_Guidance
Pafah1b1	3	0.6	Migration_Polarity_Guidance
Efnb3	3	0.9	Migration_Polarity_Guidance
Enah	3	3	Migration_Polarity_Guidance
Plxna2	3	3	Migration_Polarity_Guidance
Lin7c	3	3	Migration_Polarity_Guidance
Timp3	2	2	Migration_Polarity_Guidance
Robo1	2	1.2	Migration_Polarity_Guidance
Anks1	2	0.97	Migration_Polarity_Guidance
Adam10	2	0.6	Migration_Polarity_Guidance
Adamts9	2	0.8	Migration_Polarity_Guidance
Hipk2	2	1	Migration_Polarity_Guidance
Gpc3	2	1.8	Migration_Polarity_Guidance
Efna1	2	0.8	Migration_Polarity_Guidance
Has2	2	0.6	Migration_Polarity_Guidance
Ngfr	2	1	Migration_Polarity_Guidance
Dpysl5	2	1	Migration_Polarity_Guidance
Afg3l2	2	1.3	Migration_Polarity_Guidance
Epha1	2	1.4	Migration_Polarity_Guidance
Adra2b	2	2	Migration_Polarity_Guidance
Pdgfrb	2	2	Migration_Polarity_Guidance
Fbn2	2	2	Migration_Polarity_Guidance
Col27a1	3	2	Migration_Polarity_Guidance
Gad1	2	1.1	Migration_Polarity_Guidance
Gls	2	1.3	Migration_Polarity_Guidance
