"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Cdkn1c"	0	2.55658099285372	0.996	0.584	0	"Allantois"	"Cdkn1c"
"Phlda2"	0	1.96910604095478	1	0.658	0	"Allantois"	"Phlda2"
"Spin2c"	0	1.78891690959627	0.993	0.274	0	"Allantois"	"Spin2c"
"Plac1"	0	1.52502326718134	0.916	0.13	0	"Allantois"	"Plac1"
"Pitx1"	0	1.36564339109873	0.962	0.06	0	"Allantois"	"Pitx1"
"Lgals1"	0	1.33559755318676	0.963	0.656	0	"Allantois"	"Lgals1"
"Mest"	0	1.30026826894923	0.999	0.672	0	"Allantois"	"Mest"
"Dlk1"	0	1.22133900697176	0.962	0.255	0	"Allantois"	"Dlk1"
"Pmp22"	0	1.21507261796843	0.909	0.213	0	"Allantois"	"Pmp22"
"Slc38a4"	0	1.16341884146338	0.966	0.346	0	"Allantois"	"Slc38a4"
"Itm2a"	0	1.11339050906049	0.732	0.35	0	"Allantois"	"Itm2a"
"Sgce"	0	1.06734772718842	0.782	0.254	0	"Allantois"	"Sgce"
"Bambi"	0	1.04026527243248	0.946	0.513	0	"Allantois"	"Bambi"
"Csrp2"	0	1.02388000569922	0.992	0.696	0	"Allantois"	"Csrp2"
"Hand1"	0	1.01712880418994	0.949	0.274	0	"Allantois"	"Hand1"
"Krt8"	0	1.00841090645922	0.992	0.56	0	"Allantois"	"Krt8"
"Twist2"	0	0.945904252235533	0.748	0.051	0	"Allantois"	"Twist2"
"Prrx2"	0	0.944117105229721	0.837	0.179	0	"Allantois"	"Prrx2"
"Ppic"	0	0.879276064836451	0.949	0.508	0	"Allantois"	"Ppic"
"H19"	0	0.858598867367234	0.996	0.623	0	"Allantois"	"H19"
"Hoxa10"	0	0.842467737052836	0.793	0.027	0	"Allantois"	"Hoxa10"
"Rgs5"	0	0.840796800128353	0.769	0.088	0	"Allantois"	"Rgs5"
"Vim"	0	0.835223501349492	0.945	0.431	0	"Allantois"	"Vim"
"Csrp1"	0	0.792579662509117	0.918	0.457	0	"Allantois"	"Csrp1"
"Serpinh1"	0	0.778467421724565	0.999	0.864	0	"Allantois"	"Serpinh1"
"Foxf1"	0	0.771787243542016	0.856	0.163	0	"Allantois"	"Foxf1"
"Msx1"	0	0.768525800376718	0.923	0.374	0	"Allantois"	"Msx1"
"Peg10"	0	0.762007353442676	0.905	0.338	0	"Allantois"	"Peg10"
"Acta2"	0	0.75367182854923	0.485	0.098	0	"Allantois"	"Acta2"
"Tmem158"	0	0.748114431308566	0.815	0.267	0	"Allantois"	"Tmem158"
"Ppp1r14a"	0	0.739194270253544	0.813	0.217	0	"Allantois"	"Ppp1r14a"
"Igf2"	0	0.72845948261998	0.821	0.285	0	"Allantois"	"Igf2"
"Pcgf5"	0	0.707938386388047	0.851	0.358	0	"Allantois"	"Pcgf5"
"Hoxb6"	0	0.704302713351912	0.71	0.111	0	"Allantois"	"Hoxb6"
"Gpx3"	0	0.704068840102337	0.966	0.557	0	"Allantois"	"Gpx3"
"Map1b"	0	0.702865251271573	0.714	0.356	0	"Allantois"	"Map1b"
"Tmsb10"	0	0.681766423601642	1	0.979	0	"Allantois"	"Tmsb10"
"Tmem88"	0	0.677785301180557	0.848	0.306	0	"Allantois"	"Tmem88"
"Cnn2"	0	0.677105578853465	0.84	0.433	0	"Allantois"	"Cnn2"
"Efnb1"	0	0.676288606129698	0.762	0.215	0	"Allantois"	"Efnb1"
"Rbms1"	0	0.673225364294339	0.959	0.61	0	"Allantois"	"Rbms1"
"Suv39h1"	0	0.67251863444388	0.815	0.276	0	"Allantois"	"Suv39h1"
"Gadd45g"	0	0.671422507029592	0.754	0.285	0	"Allantois"	"Gadd45g"
"Sh3bgrl3"	0	0.665885975896567	0.99	0.911	0	"Allantois"	"Sh3bgrl3"
"Ugdh"	0	0.660682099432325	0.877	0.419	0	"Allantois"	"Ugdh"
"Tmem119"	0	0.651083005128647	0.653	0.068	0	"Allantois"	"Tmem119"
"Amot"	0	0.648928835487446	0.739	0.211	0	"Allantois"	"Amot"
"Asb4"	0	0.646140511170034	0.502	0.132	0	"Allantois"	"Asb4"
